#Testlevel

#Red Green Blue; the higher the brighter; >none< leads to no shadow
shadow:
#30;30;30
none

tiledefinition:
#layer: 0 => behind; 1 => middle; 2 => in front
#Floor
#code     ;name        ;spritename                  ;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
plaiM1    ;metal							;floor/plainM1_64_64									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
plaiM2    ;metal							;floor/plainM2_64_64									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
plaiM3    ;metal							;floor/plainM3_64_64									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
slabs_    ;slabs							;floor/slab																		;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none

#Walls
#code     ;name        ;spritename                     							;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
frt__s				;bluewall				;walls/wallFront																							;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
wTL___				;bluewallTL		;walls/bluewallcornerTL																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
wTR___				;bluewallTR		;walls/bluewallcornerTR																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
#back_w				;wall								;walls/wallLeft																								;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
#back_e				;wall								;walls/wallWest																								;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
waBNW_				;wallcorner		;walls/wallCornerNW																				;true					;0												;0			;0												;0				;0				;0										;0											;0													;000											;000									;000										;none
wBL___				;wallcorner		;walls/wallCornerNE																				;true					;0												;0			;0												;0				;0				;0										;0											;0													;000											;000									;000										;none
w45FL_				;wallcorner		;walls/wall45FrontLeft																	;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
w45FR_				;wallcorner		;walls/wall45FrontRight																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
bck_nw				;wallcorner		;walls/bluewall/back_corner_nw_64_64			;true					;2												;0			;0												;0				;0				;0										;0											;0													;020											;064									;044										;none
bck_ne				;wallcorner		;walls/bluewall/back_corner_ne_64_64			;true					;2												;0			;0												;0				;0				;0										;0											;0													;020											;064									;044										;none
back_n				;wall								;walls/bluewall/back_n_64_64											;true					;2												;0			;0												;0				;0				;0										;0											;0													;20												;64										;64											;none
fro_sw				;wallcorner		;walls/bluewall/bluewall_front_sw						;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
fro_se				;wallcorner		;walls/bluewall/bluewall_front_se						;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
back_e				;thinwall				;walls/bluewall/thin_wall_E												;true					;0												;0			;0												;0				;0				;0										;0											;050											;000											;014									;064										;none
back_w				;thinwall				;walls/bluewall/thin_wall_W												;true					;0												;0			;0												;0				;0				;0										;0											;000											;000											;014									;064										;none
frT_sw				;thinwall				;walls/bluewall/thin_front_corner_sw			;true					;0												;0			;0												;0				;0				;0										;0											;050											;000											;014									;128										;none
frT_se				;thinwall				;walls/bluewall/thin_corner_front_se			;true					;0												;0			;0												;0				;0				;0										;0											;000											;000											;014									;128										;none

#Wall Decoration
dockBa				;dockingBay		;walls/signs/wall_sign																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
dockBD				;dockingBay		;walls/signs/wall_sign_old												;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
bigPor				;portholeBig	;walls/bulkheadRound128															;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
bigPoS				;portholeBig	;walls/bulkheadRoundStars128										;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
walCab				;wallcable			;walls/wallcabel																						;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
camera				;camera						;walls/signs/camera																			;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
ladder				;ladder						;walls/signs/ladder_64_128												;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
laddeF				;ladder						;walls/signs/ladder_frame_64_128						;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none
laddeH				;ladder						;walls/signs/ladder_frame_hole_64_128						;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none

#Machines
#code     ;name        ;spritename                     								;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
vendor				;vendor     	;machines/adiaVM_128_128																;true					;1												;0   ;0            ;0    ;0    ;0          ;0           ;000           ;084           ;128         ;064										;whitelight
addAdi				;add			     	;machines/add_adia_128_128														;true					;2												;0   ;0            ;0    ;0    ;0          ;0           ;020           ;064           ;088        	;064										;whitelight
addDet				;add			     	;machines/add_bigDet_2_128_128										;true					;2												;0.3 ;2            ;2    ;1    ;128        ;128         ;020           ;064           ;088        	;064										;whitelight
inCeil				;ceiling		  	;machines/infoCeilingDes																;false				;2												;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;whitelight
pillar				;pillar			  	;machines/pillarFoot_128_128_Des								;true					;1												;0   ;0            ;0    ;0    ;0          ;0           ;030           ;000           ;068         ;100										;none
airPip				;airPipe		  	;machines/airPipe_64_192																;true					;1												;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none

#Plants
boge_3				;bogenhanf				;plants/plant_64_128_medium												;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;084           ;064         ;044										;none
boge_4				;bogenhanf				;plants/plant_64_128_large	 											;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;084           ;064         ;044										;none
potP_s				;hedghe							;plants/hedge_south_end								 							;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none
potP_n				;hedghe							;plants/hedge_north_end								 							;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none
potP_v				;hedghe							;plants/hedge_vertical								 								;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none
plan_w				;plant							;plants/green_plant_w								 										;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none
plan_e				;plant							;plants/green_plant_e								 										;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none
planne				;plant							;plants/green_plant_ne								 									;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none
plannw				;plant							;plants/green_plant_nw							 										;true					;1 											;0   ;0            ;0    ;0    ;0          ;0           ;0             ;0             ;0           ;0												;none


#Furniture
desk__				;desk								;furniture/tableSqare																				;true					;0												;0			;0												;0				;0				;0										;0											;0             ;0             ;0           ;0							     ;none
crate_				;crate							;furniture/crates/uniCrate_64_64									;true					;0												;0			;0												;0				;0				;0										;0											;0             ;0             ;0           ;0							     ;none
bench_				;bench							;furniture/bench																									;true					;1												;0;			0;											0;				0;				0;										0;										0;													50;												128;										50							;none

actors:
#code 					;actorFileN																														;IngameName															;status  											;direction
player					;player																																		;Revolutionary												;default												;WEST
infoWe					;computer/infoTerminal/info														;IngameName															;off																;undefined
auDoor					;doors/horizontal/automatedDoor										;horizontal bulkhead						;on																	;south
glasDo					;doors/horizontal/glass/glassLock								;horizontal glasdoor						;on																	;south
doorVe					;doors/vertical/autoBulkheadVertical					;vertical bulkhead								;on																	;west
diff__					;furniture/diffuser/diffuser													;big diffuser													;rose															;undefined
#AirSystem
screeA					;statusScreen/statusScreen															;Status Screen												;on																	;undefined
airVeR					;airSystem/airVent/airVent															;Right ventilation								;off																;undefined
airVeL					;airSystem/airVent/airVent															;Left ventilation									;baseSystemOffline		;undefined
airCon					;airSystem/hub/airControl																;Air hub																		;off																;undefined

Actorgroups:
#Air System
#System-Name					;Logic																	;Influenced-System	;members by actorId (logic-Options: isBaseSystem)
airSystemMonitor	;none 																	;none 													;airCon ;airVeR; airVeL
airSystemBase				;isBaseSystem 									;airSystemEnd 					;airCon
airSystemEnd					;none 																	;none 													;airVeR ;airVeL



#sets 64 bits tiles as raster; you can add multiple layers; later defined layers are higher prioritized in case of same defined heightLayer
#passivlayer will not be checked for interaction or collision
passivlayer:
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
back_e; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; back_w; ______; ______; ______; ______; w45FR_; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
back_e; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; back_w; crate_; crate_; ______; ______; ______; w45FR_; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
back_e; ______; ______; ______; ______; ______; ______; frT_sw; frt__s; glasDo; ______; frt__s; frT_se; ______; ______; ______; ______; ______; ______; w45FR_; ______; ______; ______; wTL___; frt__s; frt__s; frt__s; frt__s; wTR___
back_e; ______; ______; ______; bck_nw; bck_ne; ______; ______; ______; ______; ______; ______; ______; ______; bck_nw; bck_ne; ______; ______; ______; ______; back_w; ______; ______; ______; airCon; ______; ______; ______; ______
back_e; airPip; ______; ______; fro_sw; fro_se; ______; ______; ______; ______; ______; ______; ______; ______; fro_sw; fro_se; ______; ______; ______; ______; back_w; ______; ______; back_e; ______; ______; ______; ______; back_w
back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; back_e; ______; ______; ______; ______; back_w
back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; diff__; ______; ______; back_w; ______; ______; back_e; ______; ______; ______; ______; back_w
back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; fro_sw; frt__s; frt__s; fro_se; ______; ______; ______; ______; back_w
back_e; bench_; ______; bench_; ______; ______; ______; ______; ______; potP_n; ______; ______; ______; ______; potP_n; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w
back_e; ______; ______; ______; ______; ______; ______; ______; ______; potP_v; ______; ______; ______; ______; potP_v; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w
back_e; desk__; ______; desk__; ______; ______; plannw; planne; ______; potP_v; ______; ______; ______; ______; potP_v; ______; ______; boge_3; boge_4; ______; bck_nw; back_n; back_n; bck_ne; ______; ______; ______; ______; back_w
back_e; bench_; ______; bench_; ______; ______; plan_w; plan_e; ______; potP_s; ______; ______; ______; ______; potP_s; ______; ______; ______; ______; ______; back_w; ______; ______; back_e; ______; ______; ______; ______; back_w
______; back_n; back_n; back_n; back_n; back_n; back_n; back_n; back_n;	back_n; bck_ne; auDoor; ______; bck_nw; back_n; back_n; back_n; back_n; back_n; back_n;	waBNW_; ______; ______; ______; back_n; back_n; back_n; back_n; waBNW_
______; ______; ______; ______; ______; ______; ______; wTL___; frt__s; frt__s; fro_se; ______; ______; fro_sw; frt__s; frt__s; frt__s; frt__s; frt__s; frt__s; frt__s; frt__s; frt__s; frt__s; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; back_e; ______; ______; addAdi; ______; addDet; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; back_e; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; back_w; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; wBL___; back_n;	back_n; back_n; back_n; back_n; back_n; back_n; back_n; back_n; back_n; back_n; back_n;	back_n; back_n; back_n; back_n; waBNW_; ______; ______; ______; ______


layer:
______; walCab; ______; ______; bigPoS; ______; inCeil; ______; ______; bigPor; ______; ______; inCeil; ______; bigPoS; ______; dockBD; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; pillar; ______; ______; ______; ______; ______; pillar; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; camera; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; airVeL; airVeR; back_e; ______; ______; ______; ______; back_w; dockBa; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; vendor; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ladder; ______; laddeF; laddeH; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; doorVe; screeA; ______; walCab; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______

